ID,F37,F41,F2,F17,F22,F32,F47,F1,F3,F5,F9,F10,F11,F12,F13,F15,F18,F21,F23,F25,F30,F33,F36,F43,F50
240000,1,1,0,9,1,0,0,20,4,0,999,1,1,5,1,1,1,300,2,6,2,0,1,2,26
240001,1,1,0,9,119,0,0,33,22,0,999,6,1,1,1,1,0,1400,2,2,3,0,2,2,52
240002,1,2,0,9,995,0,0,21,4,0,999,9,3,2,2,1,0,0,1,1,1,0,1,1,0
240003,1,2,0,9,995,0,0,28,48,0,999,4,3,5,1,1,0,0,1,1,3,0,2,2,0
240004,1,2,0,9,995,0,0,43,4,0,999,8,3,4,1,1,0,0,1,1,2,0,1,1,0
240005,1,2,0,9,995,0,0,49,36,0,999,6,3,2,1,1,0,0,1,1,3,0,1,2,0
240006,1,1,0,9,42,0,0,29,20,0,999,2,1,5,1,1,0,260,2,1,3,0,2,1,26
240007,1,2,0,9,995,0,0,0,4,0,999,0,3,4,1,1,0,999998,0,6,9,0,2,2,0
240008,1,1,0,9,1,0,0,35,200,3,999,1,1,2,2,1,1,625,2,6,4,0,2,1,32
240009,1,2,0,9,995,0,0,73,405,2,999,11,3,2,1,1,0,0,1,5,2,0,1,2,0
240010,1,2,0,9,995,0,0,36,47,0,999,6,3,2,1,1,0,0,1,1,2,0,2,2,0
240011,1,2,0,9,995,0,0,46,1,0,999,1,3,3,1,1,0,0,1,1,2,0,2,2,0
240012,3,2,0,9,995,0,0,49,4,0,999,2,3,8,2,1,0,0,1,1,1,0,1,1,0
240013,1,2,0,9,995,0,0,51,4,0,999,2,3,6,2,1,0,0,1,2,1,0,1,1,0
240014,1,1,0,9,998,0,0,56,453,2,999,2,1,1,1,1,0,0,2,5,1,0,1,1,15
240015,1,2,0,9,118,0,0,38,29,0,999,4,1,1,1,1,0,0,2,4,3,0,2,2,52
240016,1,1,0,9,995,0,0,1,4,0,999,0,3,5,1,1,0,999998,0,6,9,0,1,1,0
240017,1,1,0,9,97,0,0,44,17,0,999,7,1,3,1,1,0,1450,2,1,2,0,1,1,52
240018,1,1,0,9,104,0,0,62,32,0,999,11,1,4,1,1,0,600,2,6,3,0,1,2,24
240019,1,2,0,0,995,0,0,6,4,0,999,0,3,3,1,1,0,999998,0,6,1,0,1,1,0
240020,2,2,0,9,995,0,0,11,4,0,999,2,3,3,1,1,0,999998,0,6,2,0,2,2,0
240021,1,2,0,9,995,0,0,6,4,0,999,0,3,2,1,1,0,999998,0,6,2,0,1,2,0
240022,1,2,0,9,995,0,0,32,4,0,999,6,3,1,1,1,0,0,1,5,2,0,2,1,0
240023,1,2,0,9,118,0,0,29,17,0,999,8,3,6,1,1,0,0,1,1,3,0,2,2,0
240024,1,2,0,9,995,0,0,43,4,0,999,3,3,2,2,1,0,240,1,1,1,0,1,1,52
240025,1,2,0,9,995,0,0,10,5,0,999,0,3,3,2,1,0,999998,0,6,2,0,2,1,0
240026,1,2,0,9,995,0,0,28,200,3,999,1,3,10,1,1,1,0,1,1,1,0,1,1,0
240027,1,2,0,9,995,0,0,6,6,0,999,1,3,3,1,1,1,999998,0,6,2,0,2,2,0
240028,1,2,0,9,995,0,0,11,48,0,999,2,3,5,1,1,0,999998,0,6,3,0,2,1,0
240029,1,2,0,9,995,0,0,45,48,0,999,6,3,4,2,1,0,0,1,1,3,0,1,1,0
240030,3,2,0,9,995,0,0,9,4,0,999,1,3,7,2,1,0,999998,0,6,2,0,1,1,0
240031,1,2,0,9,995,0,0,38,200,4,999,1,3,7,1,1,1,0,1,1,2,0,2,2,0
240032,1,1,0,9,1,0,0,57,410,1,999,2,1,1,2,6,0,1300,2,6,3,0,0,1,52
240033,1,2,0,9,995,0,0,2,4,0,999,0,3,7,1,1,1,999998,0,6,9,0,2,2,0
240034,1,2,0,9,995,0,0,0,4,0,999,0,3,5,1,1,0,999998,0,6,2,0,1,1,0
240035,1,2,0,9,995,0,0,67,25,0,999,6,3,2,1,1,0,0,1,1,1,0,1,2,0
240036,1,1,0,9,995,0,0,57,27,0,999,9,3,3,1,1,0,0,1,1,2,0,1,1,0
240037,1,1,0,9,995,0,0,9,4,0,999,1,3,7,1,1,1,999998,0,6,1,0,2,2,0
