ID,F37,F41,F2,F17,F22,F32,F47
240000,1,1,0,9,1,0,0
240001,1,1,0,9,119,0,0
240002,1,2,0,9,995,0,0
240003,1,2,0,9,995,0,0
240004,1,2,0,9,995,0,0
240005,1,2,0,9,995,0,0
240006,1,1,0,9,42,0,0
240007,1,2,0,9,995,0,0
240008,1,1,0,9,1,0,0
240009,1,2,0,9,995,0,0
240010,1,2,0,9,995,0,0
240011,1,2,0,9,995,0,0
240012,3,2,0,9,995,0,0
240013,1,2,0,9,995,0,0
240014,1,1,0,9,998,0,0
240015,1,2,0,9,118,0,0
240016,1,1,0,9,995,0,0
240017,1,1,0,9,97,0,0
240018,1,1,0,9,104,0,0
240019,1,2,0,0,995,0,0
240020,2,2,0,9,995,0,0
240021,1,2,0,9,995,0,0
240022,1,2,0,9,995,0,0
240023,1,2,0,9,118,0,0
240024,1,2,0,9,995,0,0
240025,1,2,0,9,995,0,0
240026,1,2,0,9,995,0,0
240027,1,2,0,9,995,0,0
240028,1,2,0,9,995,0,0
240029,1,2,0,9,995,0,0
240030,3,2,0,9,995,0,0
240031,1,2,0,9,995,0,0
240032,1,1,0,9,1,0,0
240033,1,2,0,9,995,0,0
240034,1,2,0,9,995,0,0
240035,1,2,0,9,995,0,0
240036,1,1,0,9,995,0,0
240037,1,1,0,9,995,0,0
240038,1,2,0,9,995,0,0
240039,1,1,0,9,33,0,0
240040,1,2,0,9,995,0,0
240041,1,2,0,9,995,0,0
240042,1,1,0,9,11,0,0
240043,1,1,0,9,123,0,0
240044,3,1,0,9,1,0,0
240045,1,2,0,9,118,0,0
240046,1,1,0,9,125,0,0
240047,1,2,0,9,995,0,0
240048,1,1,0,9,995,0,0
240049,1,1,0,9,75,0,0
240050,3,1,0,9,1,0,0
240051,3,1,0,9,995,0,0
240052,1,1,0,9,995,0,0
240053,1,2,0,9,995,0,0
240054,1,2,0,9,995,0,0
240055,1,2,0,9,995,0,0
240056,2,1,0,9,124,0,0
240057,1,1,0,9,1,0,0
240058,1,2,0,9,995,0,0
240059,1,2,0,4,125,0,0
240060,1,1,0,9,118,0,0
240061,2,1,0,9,998,0,0
240062,1,2,0,9,995,0,0
240063,1,1,0,9,11,0,0
240064,3,2,0,9,995,0,0
240065,1,1,0,9,102,0,0
240066,1,1,0,9,995,0,0
240067,3,2,0,9,995,0,0
240068,1,2,0,9,995,0,0
240069,1,1,0,9,5,0,0
240070,1,1,0,9,5,0,0
240071,1,2,0,9,995,0,0
240072,1,2,0,2,995,0,0
240073,3,1,0,9,995,0,0
240074,1,2,0,9,995,0,0
240075,1,1,0,9,1,0,0
240076,1,1,0,9,995,0,0
240077,3,1,0,9,995,0,0
240078,3,2,0,9,26,0,0
240079,3,1,0,9,995,0,0
240080,1,1,0,9,995,0,0
240081,1,1,0,9,32,0,0
240082,3,2,0,9,1,0,0
240083,1,2,0,9,995,0,0
240084,1,1,0,9,1,0,0
240085,1,2,0,9,995,0,0
240086,1,2,0,9,995,0,0
240087,3,1,0,9,1,0,0
240088,1,1,0,9,995,0,0
240089,1,2,0,9,995,0,0
240090,1,2,0,9,995,0,0
240091,3,2,0,9,995,0,0
240092,1,2,0,9,995,0,0
240093,1,1,0,9,11,0,0
240094,1,2,0,9,995,0,0
240095,1,1,0,9,1,0,0
240096,1,2,0,9,995,0,0
240097,1,1,0,9,5,0,0
240098,1,2,0,9,995,0,0
240099,1,2,0,9,998,0,0
240100,1,2,21,9,995,0,0
240101,1,1,0,9,11,0,0
240102,3,1,0,9,995,0,0
240103,1,2,0,9,995,0,0
240104,1,2,0,9,995,0,0
240105,1,1,0,9,995,0,0
240106,1,1,0,9,1,0,0
240107,1,1,0,9,116,0,0
240108,1,1,0,9,995,0,0
240109,1,1,0,9,108,0,0
240110,2,2,0,9,995,0,0
240111,3,2,0,9,26,0,0
240112,1,2,0,9,995,0,0
240113,1,1,0,9,5,0,0
240114,1,1,0,9,995,0,0
240115,3,2,0,9,995,0,0
240116,1,2,0,9,995,0,0
240117,1,2,0,9,995,0,0
240118,1,2,0,9,119,0,0
240119,1,1,0,9,115,0,0
240120,3,2,0,9,995,0,0
240121,1,2,0,2,995,0,0
240122,2,2,0,9,118,0,0
240123,1,2,0,9,995,0,0
240124,1,1,0,9,995,0,0
240125,1,1,0,9,995,0,0
240126,1,1,0,9,99,0,0
240127,1,2,0,9,995,0,0
240128,3,1,0,9,1,0,0
240129,3,1,0,9,1,0,0
240130,1,1,0,9,995,0,0
240131,1,2,0,9,995,0,0
240132,1,2,0,9,995,0,0
240133,1,2,0,9,995,0,0
240134,1,1,0,9,995,0,0
240135,1,2,0,9,995,0,0
240136,1,2,0,9,126,0,0
240137,1,2,0,9,995,0,0
240138,1,2,0,9,995,0,0
240139,1,2,0,9,995,0,0
240140,1,1,0,9,99,0,0
240141,1,2,0,9,995,0,0
240142,1,1,0,9,995,0,0
240143,1,1,0,9,102,0,0
240144,1,1,0,9,109,0,0
240145,1,2,0,9,995,0,0
240146,1,1,0,9,995,0,0
240147,1,2,0,9,995,0,0
240148,1,1,0,9,131,0,0
240149,1,1,0,9,995,0,0
240150,1,1,0,9,1,0,0
240151,1,1,0,9,995,0,0
240152,1,2,0,9,995,0,0
240153,2,1,0,6,129,0,0
240154,1,2,0,9,995,0,0
240155,1,1,0,9,995,0,0
240156,1,1,0,9,90,0,0
240157,1,2,0,9,995,0,0
240158,1,1,0,9,102,0,0
240159,1,1,0,9,995,0,0
240160,1,2,0,9,995,0,0
240161,1,1,0,9,77,0,0
240162,1,2,0,9,995,0,0
240163,1,2,0,9,995,0,0
240164,1,1,0,9,995,0,0
240165,1,1,0,9,5,0,0
240166,1,2,0,9,995,0,0
240167,1,2,0,9,131,0,0
240168,1,2,0,9,995,0,0
240169,1,1,0,9,1,0,0
240170,1,2,0,9,995,0,0
240171,1,1,0,9,130,0,0
240172,1,1,0,9,995,0,0
240173,1,2,0,9,102,0,0
240174,3,1,0,9,995,0,0
240175,1,2,0,9,995,0,0
240176,1,2,0,9,118,0,0
240177,1,1,0,9,108,0,0
240178,1,2,0,9,995,0,0
240179,3,1,0,9,1,0,0
240180,1,2,0,9,995,0,0
240181,1,2,0,9,995,0,0
240182,1,2,0,9,995,0,0
240183,1,1,0,9,124,0,0
240184,1,2,0,9,995,0,0
240185,1,1,0,9,995,0,0
240186,1,1,0,9,995,0,0
240187,1,1,0,9,995,0,0
240188,1,2,0,9,998,0,0
240189,1,1,0,9,11,0,0
240190,1,2,18,9,995,0,0
240191,3,1,0,9,11,0,0
240192,1,2,0,9,995,0,0
240193,1,2,0,9,995,0,0
240194,1,1,0,9,127,0,0
240195,1,2,0,9,995,0,0
240196,1,1,0,9,108,0,0
240197,1,2,0,9,995,0,0
240198,1,2,0,9,995,0,0
240199,1,1,0,9,995,0,0
240200,1,1,0,9,100,0,0
240201,1,2,0,9,116,0,0
240202,1,1,0,9,995,0,0
240203,3,2,0,9,23,0,0
240204,1,1,0,9,995,0,0
240205,1,1,0,9,995,0,0
240206,1,2,0,9,995,0,0
240207,1,1,0,9,995,0,0
240208,1,2,0,9,995,0,0
240209,1,2,0,9,995,0,0
240210,1,2,0,9,995,0,0
240211,1,1,0,9,995,0,0
240212,1,1,0,2,995,0,0
240213,1,2,0,9,995,0,0
240214,1,2,0,9,995,0,0
240215,2,1,0,9,995,0,0
240216,1,1,0,9,995,0,0
240217,1,2,0,9,995,0,0
240218,1,2,0,9,995,0,0
240219,3,2,0,9,995,0,0
240220,1,1,0,9,995,0,0
240221,1,1,0,9,995,0,0
240222,1,1,0,9,21,0,0
240223,1,1,0,9,995,0,0
240224,1,2,0,9,995,0,0
240225,1,1,0,9,100,0,0
240226,3,2,0,9,995,0,0
240227,3,2,0,9,995,0,0
240228,1,2,0,9,995,0,0
240229,1,2,0,9,995,0,0
240230,1,1,0,9,995,0,0
240231,3,2,0,9,995,0,0
240232,1,1,0,9,1,0,0
240233,1,1,0,9,1,0,0
240234,1,1,0,9,5,0,0
240235,1,2,0,9,995,0,0
240236,1,2,0,9,995,0,0
240237,1,1,0,9,995,0,0
240238,1,1,0,9,995,0,0
240239,1,1,0,9,5,0,0
240240,1,2,0,9,995,0,0
240241,1,2,0,9,124,0,0
240242,1,1,0,9,131,0,0
240243,1,2,0,9,995,0,0
240244,1,2,0,9,995,0,0
240245,1,1,0,9,995,0,0
240246,1,1,0,9,122,0,0
240247,1,1,0,9,998,0,0
240248,3,1,0,9,1,0,0
240249,1,1,0,9,995,0,0
240250,1,2,0,9,995,0,0
240251,1,1,0,9,995,0,0
240252,3,1,0,9,995,0,0
240253,1,2,0,9,995,0,0
240254,1,2,0,9,995,0,0
240255,1,2,0,9,124,0,0
240256,3,1,0,9,59,0,0
240257,1,2,0,9,995,0,0
240258,1,1,0,9,995,0,0
240259,1,1,0,9,995,0,0
240260,1,1,0,9,995,0,0
240261,1,2,0,9,995,0,0
240262,1,2,0,9,995,0,0
240263,1,1,0,9,130,0,0
240264,1,2,0,9,995,0,0
240265,1,2,0,9,1,0,0
240266,1,1,0,9,11,0,0
240267,1,2,0,9,995,0,0
240268,1,1,0,9,995,0,0
240269,1,2,0,9,995,0,0
240270,1,1,0,9,995,0,0
240271,1,2,0,9,995,0,0
240272,1,2,0,9,995,0,0
240273,3,1,0,9,995,0,0
240274,1,1,0,9,995,0,0
240275,1,1,0,9,11,0,0
240276,1,2,0,9,995,0,0
240277,1,1,0,9,99,0,0
240278,1,2,0,9,995,0,0
240279,1,1,0,9,11,0,0
240280,3,2,0,9,1,0,0
240281,1,2,0,4,995,0,0
240282,1,1,0,9,1,0,0
240283,1,2,0,9,125,0,0
240284,1,1,0,9,995,0,0
240285,3,2,0,9,995,0,0
240286,1,2,0,9,995,0,0
240287,1,2,0,9,998,0,0
240288,1,2,0,9,995,0,0
240289,1,2,0,9,995,0,0
240290,1,1,0,9,5,0,0
240291,2,1,0,9,995,0,0
240292,3,2,0,9,995,0,0
240293,1,1,0,6,121,0,0
240294,1,2,0,9,995,0,0
240295,1,2,0,9,995,0,0
240296,1,2,0,9,995,0,0
240297,1,2,0,9,995,0,0
240298,1,2,0,9,995,0,0
240299,1,1,0,9,1,0,0
240300,1,2,0,9,995,0,0
240301,1,2,0,9,995,0,0
240302,1,2,0,9,995,0,0
240303,1,2,0,9,995,0,0
240304,1,1,0,9,995,0,0
240305,1,2,0,9,11,0,0
240306,3,2,0,9,995,0,0
240307,1,1,0,9,11,0,0
240308,1,1,0,9,995,0,0
240309,1,2,0,9,995,0,0
240310,1,1,0,9,995,0,0
240311,1,1,0,9,995,0,0
240312,3,2,0,9,118,0,0
240313,1,2,0,9,995,0,0
240314,1,2,0,9,95,0,0
240315,1,1,0,9,11,0,0
240316,2,1,0,9,75,0,1
240317,1,2,0,9,995,0,0
240318,1,1,0,9,101,0,0
240319,2,1,0,9,995,0,0
240320,1,1,0,9,102,0,0
240321,1,2,0,9,124,0,0
240322,1,1,0,9,1,0,0
240323,1,2,0,9,995,0,0
240324,2,2,0,9,124,0,0
240325,2,2,0,9,995,0,0
240326,1,1,0,9,75,0,0
240327,2,1,0,9,11,0,0
240328,1,1,0,9,117,0,0
240329,1,2,0,9,119,0,0
240330,3,1,0,9,995,0,0
240331,1,2,0,9,995,0,0
240332,3,1,0,9,995,0,0
240333,1,1,0,9,995,0,0
240334,1,2,0,9,995,0,0
240335,1,1,0,9,11,0,0
240336,1,1,0,9,1,0,0
240337,1,1,0,9,995,0,0
240338,1,1,0,9,995,0,0
240339,1,1,0,9,11,0,0
240340,1,1,0,9,18,0,0
240341,1,2,0,9,995,0,0
240342,2,1,0,6,129,0,0
240343,1,1,0,9,124,0,0
240344,1,2,20,9,995,12,0
240345,3,1,0,9,995,0,0
240346,1,1,0,9,995,0,0
240347,1,1,0,9,1,0,0
240348,3,2,0,9,995,0,0
240349,1,2,0,9,995,0,0
240350,1,1,0,9,1,0,0
240351,1,2,0,9,995,0,0
240352,1,1,0,9,11,0,0
240353,1,2,0,9,995,0,0
240354,1,2,0,9,995,0,0
240355,1,2,0,9,995,0,0
240356,1,1,0,9,11,0,0
240357,1,2,0,9,995,0,0
240358,1,2,0,9,995,0,0
240359,1,2,0,9,995,0,0
240360,1,1,0,9,995,0,0
240361,3,2,0,9,995,0,0
240362,1,1,0,9,1,0,0
240363,1,1,0,9,995,0,0
240364,1,2,0,9,995,0,0
240365,1,1,0,9,995,0,0
240366,1,1,0,9,995,0,0
240367,1,2,0,9,995,0,0
240368,1,2,0,9,995,0,0
240369,1,2,0,9,995,0,0
240370,3,2,0,9,995,0,0
240371,1,1,0,9,108,0,0
240372,1,2,0,9,995,0,0
240373,3,2,0,9,995,0,0
240374,1,1,0,9,995,0,0
240375,1,2,0,9,995,0,0
240376,1,2,0,9,995,0,0
240377,1,1,0,9,995,0,0
240378,1,2,0,9,93,0,0
240379,3,1,0,9,995,0,0
240380,1,2,0,9,995,0,0
240381,2,2,0,9,995,0,0
240382,1,1,0,9,995,0,0
240383,1,1,0,9,102,0,0
240384,1,2,0,9,995,0,0
240385,1,2,0,9,995,0,0
240386,3,1,0,9,995,0,0
240387,1,2,0,9,1,0,0
240388,1,2,0,9,995,0,0
240389,1,2,0,9,995,0,0
240390,3,2,0,9,995,0,0
240391,1,2,0,9,118,0,0
240392,1,1,0,9,995,0,0
240393,1,1,0,9,995,0,0
240394,3,1,0,9,995,0,0
240395,1,2,0,9,995,0,0
240396,1,2,0,9,995,0,0
